,activation_code,total_time_spent,NPS_repgrid,NPS_identity,age,num_kids,stress_score,gender,marital_status,rep_grid_elements_id,stressful_situation_rating,rep_grid_matrix,interesting_rating_repgrid_output1,learnt_score_repgrid_output1,interesting_rating_repgrid_output2,learnt_score_repgrid_output2,do_you_want_to_improve_output2,interesting_rating_repgrid_output3,learnt_score_repgrid_output3,do_you_want_to_improve_output3,interesting_rating_repgrid_output4,learnt_score_repgrid_output4,do_you_want_to_improve_output4,feeling_repgrid_activity,comments_repgrid_activity,core_identity,middle_identity,outer_identity,learnt_score_identity_activity,interesting_score_identity_activity,feeling_identity_activity,comments_identity_activity,identity_consistency_score,cumulative_time_per_page,repgrid_output1_constructs,repgrid_output1_elements,repgrid_output4,repgrid_output2,repgrid_output3_good_constructs,repgrid_output3_bad_constructs,repgrid_output3_bad_elements
0,GmFzhmi5 ,14,4,6,31,1,11,Female,Married,"[0, 1, 11, 4, 12, 13]","[2, 2, 3, 3, 2, 3, 2, 2, 3, 2, 2, 2, 1, 1, 1, 1]","[array([4, 6, 6, 1, 5, 4]), array([5, 6, 6, 2, 6, 5]), array([4, 6, 6, 2, 5, 4]), array([5, 6, 6, 2, 6, 5]), array([6, 7, 6, 2, 6, 5]), array([5, 6, 6, 2, 6, 4]), array([5, 5, 6, 5, 6, 6]), array([5, 6, 6, 4, 6, 5]), array([5, 7, 6, 5, 6, 6]), array([5, 7, 6, 3, 5, 5])]",Agree,Agree,Agree,Agree,No,Agree,Agree,Yes,Agree,Agree,Yes,Same,I felt the wording of the questions very poor and tricky to understand. \nNow I’ve finished I understand what was being asked but the grammar in the questions bothered me,"['organised', 'playful', 'influential']","['delayed', 'following', 'cluttered', 'serious', 'unhelpful']","['delayed', 'cluttered', 'teamplayer', 'serious', 'opinionated', 'unhelpful', 'following', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Agree,Agree,Better,This was a simple questionnaire and clear and concise how to complete it },1.5833333333333333,"[0.0, 0.13333333333333333, 0.2833333333333333, 0.4, 2.066666666666667, 2.1166666666666667, 3.683333333333333, 3.7333333333333334, 3.966666666666667, 4.5, 4.75, 5.45, 5.933333333333334, 6.333333333333333, 6.916666666666667, 7.283333333333333, 7.566666666666666, 8.333333333333334, 8.716666666666667, 9.016666666666667, 9.35, 9.383333333333333, 9.733333333333333, 10.133333333333333, 10.566666666666666, 10.833333333333334, 11.766666666666667, 11.816666666666666, 12.05, 12.466666666666667, 12.95, 13.333333333333334, 13.35]","['quiet / talkative', 'not confident / confident']","[4, 0]",0.3713906763541037,,"['unsuccessful / successful', 'selfish / generous', 'unambitious / motivated', 'not confident / confident']","['uncaring / caring', 'unfriendly / friendly', 'quiet / talkative', 'boring / fun', 'not understanding / understanding']","[4, 13]"
1,PzFlGYUC ,23,8,8,25,0,21,Female,Single,"[0, 1, 13, 12, 2, 9]","[2, 0, 1, 1, 1, 2, 2, 1, 2, 1, 0, 0, 2, 1, 0, 3]","[array([5, 7, 4, 5, 5, 5]), array([4, 6, 4, 5, 5, 5]), array([3, 5, 4, 4, 3, 3]), array([3, 7, 4, 6, 6, 5]), array([1, 5, 2, 4, 4, 3]), array([1, 6, 2, 4, 3, 3]), array([3, 4, 6, 4, 5, 3]), array([5, 6, 5, 5, 4, 4]), array([2, 6, 5, 5, 3, 4]), array([1, 7, 3, 4, 3, 4])]",Agree,Agree,Strongly agree,Strongly agree,No,Agree,Agree,Yes,Agree,Disagree,Yes,Better,None,"['liberal', 'organised', 'independent']","['cluttered', 'spontaneous', 'teamplayer', 'compromising', 'conservative']","['punctual', 'cluttered', 'teamplayer', 'playful', 'compromising', 'helpful', 'influential', 'fastpaced', 'conservative', 'spontaneous', 'hardworking']",Agree,Agree,Same,None},1.5648148148148147,"[0.0, 0.5166666666666667, 0.7333333333333333, 0.95, 3.3333333333333335, 3.6333333333333333, 8.65, 8.716666666666667, 9.233333333333333, 10.216666666666667, 10.75, 11.333333333333334, 11.833333333333334, 12.466666666666667, 13.3, 13.65, 14.266666666666667, 15.433333333333334, 16.15, 16.783333333333335, 17.583333333333332, 17.7, 18.566666666666666, 18.983333333333334, 19.616666666666667, 20.05, 20.3, 20.333333333333332, 20.5, 21.366666666666667, 21.816666666666666, 22.216666666666665, 22.25]","['selfish / generous', 'uncaring / caring']","[1, 9]",0.1298226967223747,0.26009601236739777,"['unsuccessful / successful', 'uncaring / caring', 'selfish / generous', 'unfriendly / friendly', 'quiet / talkative', 'boring / fun', 'unambitious / motivated']","['stubborn / docile', 'not understanding / understanding']","[13, 2, 9]"
2,6p5vutqW ,16,9,9,35,1,14,Female,Married,"[0, 1, 12, 13, 8, 2]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[array([5, 7, 6, 5, 6, 6]), array([5, 6, 5, 4, 5, 6]), array([5, 7, 5, 4, 6, 6]), array([5, 6, 5, 3, 5, 6]), array([4, 5, 4, 2, 5, 5]), array([4, 6, 5, 2, 5, 5]), array([3, 5, 4, 1, 3, 5]), array([5, 7, 5, 2, 6, 5]), array([5, 6, 4, 1, 4, 5]), array([5, 6, 4, 1, 6, 5])]",Strongly agree,Agree,Strongly agree,Agree,No,Strongly agree,Agree,Yes,Strongly agree,Agree,Yes,Better,It was interesting to read the analysis and learn more about myself. Not surprised if I'm honest and that's a good thing.,"['opinionated', 'influential', 'organised']","['delayed', 'following', 'cluttered', 'compromising', 'unhelpful']","['delayed', 'cluttered', 'teamplayer', 'playful', 'compromising', 'unhelpful', 'following', 'fastpaced', 'liberal', 'spontaneous', 'lazy']",Agree,Strongly agree,Better,This exercise enabled me learn about more core and know/ identify the attributes I was not willing to compromise on.},1.6388888888888886,"[0.0, 0.16666666666666666, 0.31666666666666665, 0.5, 1.4166666666666667, 1.5166666666666666, 3.5166666666666666, 3.566666666666667, 3.966666666666667, 4.616666666666666, 4.8, 5.266666666666667, 5.583333333333333, 5.85, 6.116666666666666, 6.466666666666667, 6.766666666666667, 7.166666666666667, 7.683333333333334, 8.0, 8.333333333333334, 8.4, 8.983333333333333, 9.383333333333333, 9.85, 10.116666666666667, 11.0, 11.033333333333333, 11.316666666666666, 11.766666666666667, 13.766666666666667, 14.033333333333333, 14.083333333333334]","['quiet / talkative', 'not confident / confident']","[2, 13]",0.7322418368317117,0.6509452387829711,"['unsuccessful / successful', 'selfish / generous', 'boring / fun', 'stubborn / docile', 'not understanding / understanding']","['uncaring / caring', 'unfriendly / friendly', 'quiet / talkative', 'unambitious / motivated', 'not confident / confident']","[13, 12, 8]"
3,lZUOKm6S ,24,4,8,35,0,19,Male,Married,"[0, 1, 12, 2, 13, 4, 9, 3]","[2, 0, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0]","[array([3, 7, 3, 5, 5, 6]), array([5, 6, 4, 7, 5, 6]), array([6, 6, 5, 5, 5, 7]), array([6, 7, 6, 7, 6, 6]), array([4, 7, 6, 7, 6, 6]), array([6, 7, 4, 5, 5, 4]), array([6, 6, 7, 7, 3, 7]), array([4, 5, 5, 6, 6, 6]), array([5, 4, 5, 6, 6, 5]), array([5, 4, 5, 7, 6, 6])]",Disagree,Disagree,Disagree,Disagree,No,Agree,Agree,Yes,Agree,Agree,Yes,Same,i found the exercise a little confusing and only seems to confirm what i already know,"['helpful', 'hardworking', 'thoughtful']","['delayed', 'lazy', 'cluttered', 'unhelpful', 'spontaneous']","['delayed', 'cluttered', 'teamplayer', 'playful', 'compromising', 'unhelpful', 'influential', 'fastpaced', 'liberal', 'spontaneous', 'lazy']",Agree,Agree,Better,much better exercise,0.9999999999999998,"[0.0, 0.6, 0.8166666666666667, 1.0166666666666666, 2.7333333333333334, 2.85, 6.066666666666666, 6.116666666666666, 6.583333333333333, 8.533333333333333, 8.816666666666666, 10.333333333333334, 11.066666666666666, 11.483333333333333, 12.166666666666666, 12.666666666666666, 13.366666666666667, 13.866666666666667, 14.75, 15.083333333333334, 15.8, 15.933333333333334, 17.083333333333332, 17.55, 18.783333333333335, 19.083333333333332, 20.183333333333334, 20.216666666666665, 20.4, 21.783333333333335, 22.6, 22.933333333333334, 23.016666666666666]","['not confident / confident', 'not understanding / understanding']","[13, 2]",0.0,-0.10737976413381911,"['unsuccessful / successful', 'quiet / talkative']","['uncaring / caring', 'boring / fun', 'stubborn / docile', 'not understanding / understanding', 'unambitious / motivated', 'not confident / confident']","[12, 2, 13, 4]"
4,rhyDsIWL ,67,8,9,30,0,14,Male,Single,"[0, 1, 10, 5, 9, 11]","[1, 1, 3, 0, 1, 0, 1, 0, 2, 3, 2, 1, 2, 0, 1, 1]","[array([5, 7, 3, 6, 6, 6]), array([6, 6, 3, 7, 7, 5]), array([6, 5, 3, 6, 6, 2]), array([7, 6, 2, 7, 7, 6]), array([5, 6, 2, 7, 6, 6]), array([7, 3, 7, 7, 6, 6]), array([4, 2, 2, 4, 4, 5]), array([7, 7, 5, 7, 7, 3]), array([7, 7, 4, 7, 7, 7]), array([5, 7, 6, 6, 5, 4])]",Agree,Agree,Strongly agree,Agree,No,Disagree,Disagree,Yes,Strongly agree,Agree,Yes,Same,N/a,"['hardworking', 'playful', 'thoughtful']","['independent', 'lazy', 'serious', 'unhelpful', 'spontaneous']","['punctual', 'organised', 'independent', 'serious', 'opinionated', 'unhelpful', 'following', 'slowpaced', 'liberal', 'spontaneous', 'lazy']",Disagree,Agree,Same,N.A},1.9537037037037035,"[0.0, 0.35, 0.45, 0.48333333333333334, 0.6333333333333333, 0.65, 0.9166666666666666, 0.95, 0.9833333333333333, 1.05, 1.0833333333333333, 1.1833333333333333, 1.2666666666666666, 1.35, 1.45, 1.5333333333333334, 1.6333333333333333, 1.7333333333333334, 1.8166666666666667, 1.9, 2.0166666666666666, 2.066666666666667, 2.1, 2.183333333333333, 2.2333333333333334, 2.283333333333333, 2.3666666666666667, 2.4, 2.4833333333333334, 2.7666666666666666, 2.8666666666666667, 2.9166666666666665, 3.15]","['unfriendly / friendly', 'stubborn / docile']","[0, 9]",0.2614480534183759,0.2875642007975868,"['unsuccessful / successful', 'stubborn / docile', 'not confident / confident']","['selfish / generous', 'quiet / talkative', 'not understanding / understanding']","[10, 11, 5]"
5,fwQXfY83 ,25,7,7,36,2,26,Female,Married,"[0, 1, 2, 3, 4, 5]","[3, 1, 3, 2, 0, 2, 3, 0, 1, 3, 1, 1, 3, 2, 2, 3]","[array([4, 6, 4, 4, 3, 1]), array([3, 6, 5, 7, 4, 2]), array([1, 1, 1, 1, 1, 1]), array([6, 6, 5, 4, 6, 3]), array([1, 3, 3, 2, 3, 1]), array([4, 4, 4, 3, 4, 3]), array([5, 5, 5, 2, 5, 1]), array([5, 5, 5, 2, 5, 2]), array([5, 5, 5, 7, 5, 1]), array([5, 5, 5, 2, 5, 6])]",Agree,Agree,Agree,Disagree,No,Agree,Disagree,No,Agree,Agree,No,Better,no,"['punctual', 'organised', 'helpful']","['delayed', 'following', 'cluttered', 'independent', 'unhelpful']","['delayed', 'cluttered', 'independent', 'playful', 'compromising', 'unhelpful', 'following', 'slowpaced', 'liberal', 'spontaneous', 'hardworking']",Disagree,Agree,Same,No},1.574074074074074,"[0.0, 0.1, 0.25, 0.3333333333333333, 8.333333333333334, 8.433333333333334, 21.183333333333334, 22.066666666666666, 22.233333333333334, 24.916666666666668, 37.2, 37.88333333333333, 42.766666666666666, 43.43333333333333, 46.083333333333336, 57.8, 58.583333333333336, 61.083333333333336, 61.36666666666667, 62.1, 62.55, 62.6, 63.15, 63.61666666666667, 64.2, 64.41666666666667, 64.68333333333334, 64.7, 64.81666666666666, 65.48333333333333, 66.03333333333333, 66.28333333333333, 66.3]","['not understanding / understanding', 'boring / fun']","[4, 1]",0.7577270564570697,0.6456762270286018,"['unsuccessful / successful', 'uncaring / caring', 'quiet / talkative']","['unfriendly / friendly', 'stubborn / docile', 'not understanding / understanding', 'unambitious / motivated', 'not confident / confident']","[3, 5]"
6,ZF8MGC0T ,10,8,8,45,2,15,Female,Married,"[0, 1, 12, 11, 13, 9]","[1, 0, 1, 1, 0, 1, 1, 0, 2, 1, 0, 1, 2, 1, 0, 2]","[array([5, 6, 6, 4, 6, 4]), array([6, 7, 6, 5, 6, 6]), array([6, 6, 7, 5, 7, 6]), array([5, 6, 7, 5, 7, 6]), array([5, 6, 6, 5, 6, 6]), array([4, 6, 5, 4, 5, 5]), array([6, 5, 5, 6, 4, 4]), array([6, 6, 6, 5, 7, 6]), array([6, 6, 6, 4, 6, 5]), array([4, 6, 5, 4, 5, 4])]",Agree,Agree,Agree,Agree,Yes,Agree,Agree,Yes,Agree,Disagree,Yes,Same,No,"['punctual', 'organised', 'hardworking']","['delayed', 'lazy', 'cluttered', 'teamplayer', 'unhelpful']","['delayed', 'cluttered', 'teamplayer', 'playful', 'opinionated', 'unhelpful', 'following', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Agree,Agree,Same,No},0.5308641975308641,"[0.0, 0.16666666666666666, 0.31666666666666665, 0.45, 1.8833333333333333, 1.95, 3.65, 3.7333333333333334, 3.8666666666666667, 4.583333333333333, 4.75, 7.333333333333333, 7.9, 8.383333333333333, 12.933333333333334, 14.266666666666667, 14.483333333333333, 14.9, 15.5, 15.85, 16.133333333333333, 16.2, 16.55, 16.816666666666666, 17.35, 17.516666666666666, 17.766666666666666, 17.816666666666666, 17.95, 18.416666666666668, 23.7, 23.916666666666668, 23.966666666666665]","['not confident / confident', 'unfriendly / friendly']","[13, 0]",0.0,0.19145155475954706,"['boring / fun', 'not confident / confident']","['unsuccessful / successful', 'uncaring / caring', 'unfriendly / friendly', 'stubborn / docile', 'unambitious / motivated']","[11, 9, 12, 13]"
7,i8tc5Xfl ,14,7,8,26,0,18,Male,Single,"[0, 1, 12, 13, 9, 3]","[2, 1, 3, 2, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[array([6, 7, 5, 6, 6, 5]), array([4, 5, 3, 6, 6, 4]), array([3, 5, 2, 6, 6, 5]), array([5, 7, 3, 6, 7, 7]), array([4, 6, 1, 6, 7, 6]), array([3, 6, 3, 6, 7, 7]), array([1, 3, 3, 5, 1, 1]), array([3, 7, 3, 5, 5, 6]), array([6, 7, 6, 7, 7, 7]), array([6, 7, 4, 7, 6, 6])]",Disagree,Disagree,Agree,Agree,Yes,Disagree,Agree,Yes,Agree,Strongly Disagree,No,Same,The language in the questions feels a bit synthetic...it'a hard to give a meaningful answer without a scenario to put those traits into context,"['organised', 'hardworking', 'thoughtful']","['cluttered', 'lazy', 'unhelpful', 'conservative', 'spontaneous']","['delayed', 'cluttered', 'teamplayer', 'serious', 'compromising', 'unhelpful', 'following', 'fastpaced', 'conservative', 'spontaneous', 'lazy']",Strongly agree,Agree,Better,Links to the underlying research paper},1.9259259259259258,"[0.0, 0.05, 0.18333333333333332, 0.26666666666666666, 1.25, 1.2833333333333334, 2.4833333333333334, 2.5, 2.5166666666666666, 2.8, 2.8666666666666667, 3.1333333333333333, 3.433333333333333, 3.683333333333333, 3.966666666666667, 4.2, 4.516666666666667, 4.733333333333333, 4.966666666666667, 5.3, 5.5, 5.55, 6.033333333333333, 6.433333333333334, 6.816666666666666, 7.1, 7.316666666666666, 7.383333333333334, 7.65, 7.983333333333333, 8.633333333333333, 9.716666666666667, 9.75]","['boring / fun', 'unfriendly / friendly']","[3, 9]",0.8016048160562024,0.6619320836075266,"['selfish / generous', 'unfriendly / friendly', 'quiet / talkative', 'boring / fun', 'stubborn / docile', 'not understanding / understanding']","['unsuccessful / successful', 'uncaring / caring']","[12, 3, 13, 9]"
8,mbtHMJZW ,15,3,3,32,0,27,Female,Single,"[0, 1, 8, 12, 13, 10]","[1, 0, 2, 1, 0, 2, 1, 0, 0, 1, 2, 1, 2, 0, 1, 2]","[array([4, 6, 3, 1, 4, 5]), array([4, 7, 3, 5, 4, 5]), array([4, 7, 4, 4, 3, 5]), array([5, 7, 1, 4, 4, 5]), array([4, 5, 1, 4, 4, 4]), array([6, 7, 6, 1, 7, 7]), array([2, 7, 1, 4, 1, 3]), array([4, 7, 1, 4, 3, 6]), array([5, 7, 2, 1, 5, 6]), array([5, 7, 1, 1, 7, 7])]",Disagree,Disagree,Agree,Agree,Yes,Agree,Agree,Yes,Agree,Agree,No,Same,I often find my opinion on myself changes so regularly that it’s difficult to learn anything from it at any one time. ,"['independent', 'helpful', 'thoughtful']","['unhelpful', 'teamplayer', 'conservative', 'spontaneous', 'lazy']","['delayed', 'cluttered', 'teamplayer', 'playful', 'opinionated', 'unhelpful', 'following', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Agree,Agree,Same,No further comments },3.7006172839506175,"[0.0, 0.25, 0.43333333333333335, 0.6, 1.75, 1.8166666666666667, 3.6333333333333333, 3.6666666666666665, 3.933333333333333, 4.716666666666667, 4.983333333333333, 5.383333333333334, 5.8, 6.216666666666667, 6.516666666666667, 6.85, 7.366666666666666, 7.683333333333334, 8.066666666666666, 8.9, 9.15, 9.233333333333333, 9.666666666666666, 9.95, 10.466666666666667, 10.75, 11.616666666666667, 11.65, 11.816666666666666, 12.25, 12.716666666666667, 12.983333333333333, 13.033333333333333]","['uncaring / caring', 'unambitious / motivated']","[10, 13]",0.13985883109274627,0.1459434483923315,"['unsuccessful / successful', 'uncaring / caring', 'selfish / generous', 'unfriendly / friendly', 'not understanding / understanding', 'unambitious / motivated', 'not confident / confident']",['boring / fun'],[12]
9,j38UBMlO ,16,5,5,49,0,18,Male,Single,"[0, 1, 13, 4, 9, 3]","[2, 0, 3, 0, 0, 1, 1, 0, 1, 2, 0, 1, 2, 2, 2, 2]","[array([5, 6, 4, 6, 6, 6]), array([4, 5, 5, 5, 5, 6]), array([4, 5, 5, 5, 5, 6]), array([5, 6, 5, 6, 6, 7]), array([3, 4, 3, 4, 6, 6]), array([3, 6, 3, 3, 6, 6]), array([2, 3, 3, 4, 3, 3]), array([6, 6, 6, 7, 6, 7]), array([4, 6, 6, 7, 6, 5]), array([5, 6, 6, 7, 7, 6])]",Disagree,Disagree,Agree,Disagree,No,Disagree,Disagree,No,Disagree,Disagree,No,Same,No,"['thoughtful', 'punctual', 'organised']","['spontaneous', 'following', 'playful', 'delayed', 'cluttered']","['delayed', 'cluttered', 'independent', 'playful', 'compromising', 'unhelpful', 'following', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Disagree,Disagree,Same,No},0.7901234567901235,"[0.0, 0.25, 0.6166666666666667, 0.7, 1.65, 1.7333333333333334, 4.05, 4.1, 4.233333333333333, 6.033333333333333, 6.333333333333333, 6.916666666666667, 7.3, 7.683333333333334, 8.116666666666667, 8.533333333333333, 9.5, 10.783333333333333, 11.116666666666667, 11.383333333333333, 11.7, 11.8, 12.2, 12.416666666666666, 12.933333333333334, 13.166666666666666, 13.616666666666667, 13.65, 13.7, 14.266666666666667, 15.033333333333333, 15.35, 15.4]","['unfriendly / friendly', 'stubborn / docile']","[13, 4]",0.7621908144748358,0.68672180367977,"['boring / fun', 'unambitious / motivated']","['uncaring / caring', 'selfish / generous', 'unfriendly / friendly', 'quiet / talkative', 'stubborn / docile', 'not confident / confident']","[3, 9, 4]"
