,activation_code,total_time_spent,NPS_repgrid,NPS_identity,age,num_kids,stress_score,gender,marital_status,rep_grid_elements_id,stressful_situation_rating,rep_grid_matrix,interesting_rating_repgrid_output1,learnt_score_repgrid_output1,interesting_rating_repgrid_output2,learnt_score_repgrid_output2,do_you_want_to_improve_output2,interesting_rating_repgrid_output3,learnt_score_repgrid_output3,do_you_want_to_improve_output3,interesting_rating_repgrid_output4,learnt_score_repgrid_output4,do_you_want_to_improve_output4,feeling_repgrid_activity,comments_repgrid_activity,core_identity,middle_identity,outer_identity,learnt_score_identity_activity,interesting_score_identity_activity,feeling_identity_activity,comments_identity_activity,identity_consistency_score,cumulative_time_per_page,repgrid_output1_constructs,repgrid_output1_elements,repgrid_output4,repgrid_output2,repgrid_output3_good_constructs,repgrid_output3_bad_constructs,repgrid_output3_bad_elements,gender_int,marital_int,rep_grid_matrix_median_current_self,rep_grid_matrix_median_ideal_self,repgrid_max_succesful,repgrid_max_caring,repgrid_max_selfish,repgrid_max_friendly,repgrid_max_talkative,repgrid_max_fun,repgrid_max_docile,repgrid_max_understanding,repgrid_max_motivated,repgrid_max_confident,repgrid_min_succesful,repgrid_min_caring,repgrid_min_selfish,repgrid_min_friendly,repgrid_min_talkative,repgrid_min_fun,repgrid_min_docile,repgrid_min_understanding,repgrid_min_motivated,repgrid_min_confident,repgrid_median_succesful,repgrid_median_caring,repgrid_median_selfish,repgrid_median_friendly,repgrid_median_talkative,repgrid_median_fun,repgrid_median_docile,repgrid_median_understanding,repgrid_median_motivated,repgrid_median_confident,repgrid_sum_confident,repgrid_sum_succesful,repgrid_sum_caring,repgrid_sum_selfish,repgrid_sum_friendly,repgrid_sum_talkative,repgrid_sum_fun,repgrid_sum_docile,repgrid_sum_understanding,repgrid_sum_motivated,repgrid_std_succesful,repgrid_std_caring,repgrid_std_selfish,repgrid_std_friendly,repgrid_std_talkative,repgrid_std_fun,repgrid_std_docile,repgrid_std_understanding,repgrid_std_motivated,repgrid_std_confident,sum_stressful_situations,selfesteem,satisfaction
0,PzFlGYUC ,23,8,8,25,0,21,Female,Single,"[0, 1, 13, 12, 2, 9]","[2, 0, 1, 1, 1, 2, 2, 1, 2, 1, 0, 0, 2, 1, 0, 3]","[array([5, 7, 4, 5, 5, 5]), array([4, 6, 4, 5, 5, 5]), array([3, 5, 4, 4, 3, 3]), array([3, 7, 4, 6, 6, 5]), array([1, 5, 2, 4, 4, 3]), array([1, 6, 2, 4, 3, 3]), array([3, 4, 6, 4, 5, 3]), array([5, 6, 5, 5, 4, 4]), array([2, 6, 5, 5, 3, 4]), array([1, 7, 3, 4, 3, 4])]",Agree,Agree,Strongly agree,Strongly agree,No,Agree,Agree,Yes,Agree,Disagree,Yes,Better,None,"['liberal', 'organised', 'independent']","['cluttered', 'spontaneous', 'teamplayer', 'compromising', 'conservative']","['punctual', 'cluttered', 'teamplayer', 'playful', 'compromising', 'helpful', 'influential', 'fastpaced', 'conservative', 'spontaneous', 'hardworking']",Agree,Agree,Same,None},1.5648148148148149,"[0.0, 0.5166666666666667, 0.7333333333333333, 0.95, 3.3333333333333335, 3.6333333333333333, 8.65, 8.716666666666667, 9.233333333333333, 10.216666666666667, 10.75, 11.333333333333334, 11.833333333333334, 12.466666666666667, 13.3, 13.65, 14.266666666666667, 15.433333333333334, 16.15, 16.783333333333335, 17.583333333333332, 17.7, 18.566666666666666, 18.983333333333334, 19.616666666666667, 20.05, 20.3, 20.333333333333332, 20.5, 21.366666666666667, 21.816666666666666, 22.216666666666665, 22.25]","['selfish / generous', 'uncaring / caring']","[1, 9]",0.1298226967223747,0.26009601236739777,"['unsuccessful / successful', 'uncaring / caring', 'selfish / generous', 'unfriendly / friendly', 'quiet / talkative', 'boring / fun', 'unambitious / motivated']","['stubborn / docile', 'not understanding / understanding']","[13, 2, 9]",1,1,3.0,6.0,7,6,5,7,5,6,6,6,6,7,4,4,3,3,1,1,3,4,2,1,5.0,5.0,3.5,5.5,3.5,3.0,4.0,5.0,4.5,3.5,22,31,29,22,31,19,19,25,29,25,0.8975274678557505,0.6871842709362768,0.7453559924999298,1.343709624716425,1.3437096247164249,1.5723301886761007,1.0671873729054748,0.6871842709362768,1.343709624716425,1.795054935711501,19,0,1
1,6p5vutqW ,16,9,9,35,1,14,Female,Married,"[0, 1, 12, 13, 8, 2]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[array([5, 7, 6, 5, 6, 6]), array([5, 6, 5, 4, 5, 6]), array([5, 7, 5, 4, 6, 6]), array([5, 6, 5, 3, 5, 6]), array([4, 5, 4, 2, 5, 5]), array([4, 6, 5, 2, 5, 5]), array([3, 5, 4, 1, 3, 5]), array([5, 7, 5, 2, 6, 5]), array([5, 6, 4, 1, 4, 5]), array([5, 6, 4, 1, 6, 5])]",Strongly agree,Agree,Strongly agree,Agree,No,Strongly agree,Agree,Yes,Strongly agree,Agree,Yes,Better,It was interesting to read the analysis and learn more about myself. Not surprised if I'm honest and that's a good thing.,"['opinionated', 'influential', 'organised']","['delayed', 'following', 'cluttered', 'compromising', 'unhelpful']","['delayed', 'cluttered', 'teamplayer', 'playful', 'compromising', 'unhelpful', 'following', 'fastpaced', 'liberal', 'spontaneous', 'lazy']",Agree,Strongly agree,Better,This exercise enabled me learn about more core and know/ identify the attributes I was not willing to compromise on.},1.6388888888888886,"[0.0, 0.16666666666666666, 0.31666666666666665, 0.5, 1.4166666666666667, 1.5166666666666666, 3.5166666666666666, 3.566666666666667, 3.966666666666667, 4.616666666666666, 4.8, 5.266666666666667, 5.583333333333333, 5.85, 6.116666666666666, 6.466666666666667, 6.766666666666667, 7.166666666666667, 7.683333333333334, 8.0, 8.333333333333334, 8.4, 8.983333333333333, 9.383333333333333, 9.85, 10.116666666666667, 11.0, 11.033333333333333, 11.316666666666666, 11.766666666666667, 13.766666666666667, 14.033333333333333, 14.083333333333334]","['quiet / talkative', 'not confident / confident']","[2, 13]",0.7322418368317117,0.6509452387829711,"['unsuccessful / successful', 'selfish / generous', 'boring / fun', 'stubborn / docile', 'not understanding / understanding']","['uncaring / caring', 'unfriendly / friendly', 'quiet / talkative', 'unambitious / motivated', 'not confident / confident']","[13, 12, 8]",1,2,5.0,6.0,7,6,7,6,5,6,5,7,6,6,5,4,4,3,2,2,1,2,1,1,6.0,5.0,5.5,5.0,4.5,5.0,3.5,5.0,4.5,5.0,27,35,31,33,30,25,27,21,30,25,0.6871842709362768,0.6871842709362768,0.9574271077563381,1.0,1.0671873729054748,1.2583057392117916,1.3844373104863459,1.5275252316519468,1.5723301886761007,1.707825127659933,5,1,1
2,lZUOKm6S ,24,4,8,35,0,19,Male,Married,"[0, 1, 12, 2, 13, 4, 9, 3]","[2, 0, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0]","[array([3, 7, 3, 5, 5, 6]), array([5, 6, 4, 7, 5, 6]), array([6, 6, 5, 5, 5, 7]), array([6, 7, 6, 7, 6, 6]), array([4, 7, 6, 7, 6, 6]), array([6, 7, 4, 5, 5, 4]), array([6, 6, 7, 7, 3, 7]), array([4, 5, 5, 6, 6, 6]), array([5, 4, 5, 6, 6, 5]), array([5, 4, 5, 7, 6, 6])]",Disagree,Disagree,Disagree,Disagree,No,Agree,Agree,Yes,Agree,Agree,Yes,Same,i found the exercise a little confusing and only seems to confirm what i already know,"['helpful', 'hardworking', 'thoughtful']","['delayed', 'lazy', 'cluttered', 'unhelpful', 'spontaneous']","['delayed', 'cluttered', 'teamplayer', 'playful', 'compromising', 'unhelpful', 'influential', 'fastpaced', 'liberal', 'spontaneous', 'lazy']",Agree,Agree,Better,much better exercise,0.9999999999999998,"[0.0, 0.6, 0.8166666666666667, 1.0166666666666666, 2.7333333333333334, 2.85, 6.066666666666666, 6.116666666666666, 6.583333333333333, 8.533333333333333, 8.816666666666666, 10.333333333333334, 11.066666666666666, 11.483333333333333, 12.166666666666666, 12.666666666666666, 13.366666666666667, 13.866666666666667, 14.75, 15.083333333333334, 15.8, 15.933333333333334, 17.083333333333332, 17.55, 18.783333333333335, 19.083333333333332, 20.183333333333334, 20.216666666666665, 20.4, 21.783333333333335, 22.6, 22.933333333333334, 23.016666666666666]","['not confident / confident', 'not understanding / understanding']","[13, 2]",0.0,-0.10737976413381912,"['unsuccessful / successful', 'quiet / talkative']","['uncaring / caring', 'boring / fun', 'stubborn / docile', 'not understanding / understanding', 'unambitious / motivated', 'not confident / confident']","[12, 2, 13, 4]",2,2,5.0,6.0,7,7,7,7,7,7,7,6,6,7,3,4,5,6,4,4,3,4,4,4,5.0,5.5,5.5,6.0,6.0,5.0,6.5,5.5,5.0,5.5,33,29,33,34,38,36,31,36,32,31,1.4624940645653537,0.9574271077563381,0.7453559924999299,0.4714045207910317,1.0,1.0671873729054746,1.4142135623730951,0.7453559924999298,0.6871842709362768,0.9574271077563381,13,0,0
3,rhyDsIWL ,67,8,9,30,0,14,Male,Single,"[0, 1, 10, 5, 9, 11]","[1, 1, 3, 0, 1, 0, 1, 0, 2, 3, 2, 1, 2, 0, 1, 1]","[array([5, 7, 3, 6, 6, 6]), array([6, 6, 3, 7, 7, 5]), array([6, 5, 3, 6, 6, 2]), array([7, 6, 2, 7, 7, 6]), array([5, 6, 2, 7, 6, 6]), array([7, 3, 7, 7, 6, 6]), array([4, 2, 2, 4, 4, 5]), array([7, 7, 5, 7, 7, 3]), array([7, 7, 4, 7, 7, 7]), array([5, 7, 6, 6, 5, 4])]",Agree,Agree,Strongly agree,Agree,No,Disagree,Disagree,Yes,Strongly agree,Agree,Yes,Same,N/a,"['hardworking', 'playful', 'thoughtful']","['independent', 'lazy', 'serious', 'unhelpful', 'spontaneous']","['punctual', 'organised', 'independent', 'serious', 'opinionated', 'unhelpful', 'following', 'slowpaced', 'liberal', 'spontaneous', 'lazy']",Disagree,Agree,Same,N.A},1.9537037037037035,"[0.0, 0.35, 0.45, 0.48333333333333334, 0.6333333333333333, 0.65, 0.9166666666666666, 0.95, 0.9833333333333333, 1.05, 1.0833333333333333, 1.1833333333333333, 1.2666666666666666, 1.35, 1.45, 1.5333333333333334, 1.6333333333333333, 1.7333333333333334, 1.8166666666666667, 1.9, 2.0166666666666666, 2.066666666666667, 2.1, 2.183333333333333, 2.2333333333333334, 2.283333333333333, 2.3666666666666667, 2.4, 2.4833333333333334, 2.7666666666666666, 2.8666666666666667, 2.9166666666666665, 3.15]","['unfriendly / friendly', 'stubborn / docile']","[0, 9]",0.2614480534183759,0.2875642007975868,"['unsuccessful / successful', 'stubborn / docile', 'not confident / confident']","['selfish / generous', 'quiet / talkative', 'not understanding / understanding']","[10, 11, 5]",2,1,6.0,6.0,7,7,6,7,7,7,5,7,7,7,3,3,2,2,2,3,2,3,4,4,6.0,6.0,5.5,6.5,6.0,6.5,4.0,7.0,7.0,5.5,33,33,34,28,35,32,36,21,36,39,1.2583057392117916,1.3743685418725535,1.5986105077709065,1.7716909687891083,1.5986105077709065,1.4142135623730951,1.118033988749895,1.5275252316519468,1.118033988749895,0.9574271077563381,19,0,1
4,fwQXfY83 ,25,7,7,36,2,26,Female,Married,"[0, 1, 2, 3, 4, 5]","[3, 1, 3, 2, 0, 2, 3, 0, 1, 3, 1, 1, 3, 2, 2, 3]","[array([4, 6, 4, 4, 3, 1]), array([3, 6, 5, 7, 4, 2]), array([1, 1, 1, 1, 1, 1]), array([6, 6, 5, 4, 6, 3]), array([1, 3, 3, 2, 3, 1]), array([4, 4, 4, 3, 4, 3]), array([5, 5, 5, 2, 5, 1]), array([5, 5, 5, 2, 5, 2]), array([5, 5, 5, 7, 5, 1]), array([5, 5, 5, 2, 5, 6])]",Agree,Agree,Agree,Disagree,No,Agree,Disagree,No,Agree,Agree,No,Better,no,"['punctual', 'organised', 'helpful']","['delayed', 'following', 'cluttered', 'independent', 'unhelpful']","['delayed', 'cluttered', 'independent', 'playful', 'compromising', 'unhelpful', 'following', 'slowpaced', 'liberal', 'spontaneous', 'hardworking']",Disagree,Agree,Same,No},1.574074074074074,"[0.0, 0.1, 0.25, 0.3333333333333333, 8.333333333333334, 8.433333333333334, 21.183333333333334, 22.066666666666666, 22.233333333333334, 24.916666666666668, 37.2, 37.88333333333333, 42.766666666666666, 43.43333333333333, 46.083333333333336, 57.8, 58.583333333333336, 61.083333333333336, 61.36666666666667, 62.1, 62.55, 62.6, 63.15, 63.61666666666667, 64.2, 64.41666666666667, 64.68333333333334, 64.7, 64.81666666666666, 65.48333333333333, 66.03333333333333, 66.28333333333333, 66.3]","['not understanding / understanding', 'boring / fun']","[4, 1]",0.7577270564570697,0.6456762270286018,"['unsuccessful / successful', 'uncaring / caring', 'quiet / talkative']","['unfriendly / friendly', 'stubborn / docile', 'not understanding / understanding', 'unambitious / motivated', 'not confident / confident']","[3, 5]",1,2,4.5,5.0,6,7,1,6,3,4,5,5,7,6,1,2,1,3,1,3,1,2,1,2,4.0,4.5,1.0,5.5,2.5,4.0,5.0,5.0,5.0,5.0,28,22,27,6,30,13,22,23,24,28,1.49071198499986,1.707825127659933,0.0,1.1547005383792515,0.8975274678557507,0.4714045207910317,1.674979270186815,1.4142135623730951,1.7950549357115013,1.247219128924647,30,1,1
5,i8tc5Xfl ,14,7,8,26,0,18,Male,Single,"[0, 1, 12, 13, 9, 3]","[2, 1, 3, 2, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[array([6, 7, 5, 6, 6, 5]), array([4, 5, 3, 6, 6, 4]), array([3, 5, 2, 6, 6, 5]), array([5, 7, 3, 6, 7, 7]), array([4, 6, 1, 6, 7, 6]), array([3, 6, 3, 6, 7, 7]), array([1, 3, 3, 5, 1, 1]), array([3, 7, 3, 5, 5, 6]), array([6, 7, 6, 7, 7, 7]), array([6, 7, 4, 7, 6, 6])]",Disagree,Disagree,Agree,Agree,Yes,Disagree,Agree,Yes,Agree,Strongly Disagree,No,Same,The language in the questions feels a bit synthetic...it'a hard to give a meaningful answer without a scenario to put those traits into context,"['organised', 'hardworking', 'thoughtful']","['cluttered', 'lazy', 'unhelpful', 'conservative', 'spontaneous']","['delayed', 'cluttered', 'teamplayer', 'serious', 'compromising', 'unhelpful', 'following', 'fastpaced', 'conservative', 'spontaneous', 'lazy']",Strongly agree,Agree,Better,Links to the underlying research paper},1.9259259259259256,"[0.0, 0.05, 0.18333333333333332, 0.26666666666666666, 1.25, 1.2833333333333334, 2.4833333333333334, 2.5, 2.5166666666666666, 2.8, 2.8666666666666667, 3.1333333333333333, 3.433333333333333, 3.683333333333333, 3.966666666666667, 4.2, 4.516666666666667, 4.733333333333333, 4.966666666666667, 5.3, 5.5, 5.55, 6.033333333333333, 6.433333333333334, 6.816666666666666, 7.1, 7.316666666666666, 7.383333333333334, 7.65, 7.983333333333333, 8.633333333333333, 9.716666666666667, 9.75]","['boring / fun', 'unfriendly / friendly']","[3, 9]",0.8016048160562024,0.6619320836075266,"['selfish / generous', 'unfriendly / friendly', 'quiet / talkative', 'boring / fun', 'stubborn / docile', 'not understanding / understanding']","['unsuccessful / successful', 'uncaring / caring']","[12, 3, 13, 9]",2,1,4.0,6.5,7,6,6,7,7,7,5,7,7,7,5,3,2,3,1,3,1,3,6,4,6.0,4.5,5.0,6.5,6.0,6.0,2.0,5.0,7.0,6.0,36,35,28,27,35,30,32,14,29,40,0.6871842709362768,1.1055415967851332,1.5,1.462494064565354,2.0,1.699673171197595,1.4907119849998598,1.4624940645653537,0.4714045207910317,1.0,14,1,1
6,mbtHMJZW ,15,3,3,32,0,27,Female,Single,"[0, 1, 8, 12, 13, 10]","[1, 0, 2, 1, 0, 2, 1, 0, 0, 1, 2, 1, 2, 0, 1, 2]","[array([4, 6, 3, 1, 4, 5]), array([4, 7, 3, 5, 4, 5]), array([4, 7, 4, 4, 3, 5]), array([5, 7, 1, 4, 4, 5]), array([4, 5, 1, 4, 4, 4]), array([6, 7, 6, 1, 7, 7]), array([2, 7, 1, 4, 1, 3]), array([4, 7, 1, 4, 3, 6]), array([5, 7, 2, 1, 5, 6]), array([5, 7, 1, 1, 7, 7])]",Disagree,Disagree,Agree,Agree,Yes,Agree,Agree,Yes,Agree,Agree,No,Same,I often find my opinion on myself changes so regularly that it’s difficult to learn anything from it at any one time. ,"['independent', 'helpful', 'thoughtful']","['unhelpful', 'teamplayer', 'conservative', 'spontaneous', 'lazy']","['delayed', 'cluttered', 'teamplayer', 'playful', 'opinionated', 'unhelpful', 'following', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Agree,Agree,Same,No further comments },3.7006172839506175,"[0.0, 0.25, 0.43333333333333335, 0.6, 1.75, 1.8166666666666667, 3.6333333333333333, 3.6666666666666665, 3.933333333333333, 4.716666666666667, 4.983333333333333, 5.383333333333334, 5.8, 6.216666666666667, 6.516666666666667, 6.85, 7.366666666666666, 7.683333333333334, 8.066666666666666, 8.9, 9.15, 9.233333333333333, 9.666666666666666, 9.95, 10.466666666666667, 10.75, 11.616666666666667, 11.65, 11.816666666666666, 12.25, 12.716666666666667, 12.983333333333333, 13.033333333333333]","['uncaring / caring', 'unambitious / motivated']","[10, 13]",0.13985883109274627,0.1459434483923315,"['unsuccessful / successful', 'uncaring / caring', 'selfish / generous', 'unfriendly / friendly', 'not understanding / understanding', 'unambitious / motivated', 'not confident / confident']",['boring / fun'],[12],1,1,4.0,7.0,6,7,7,7,5,7,7,7,7,7,1,3,3,1,1,1,1,1,1,1,4.0,4.5,4.0,4.5,4.0,6.5,2.5,4.0,5.0,6.0,28,23,28,27,26,22,34,18,25,26,1.5723301886761007,1.247219128924647,1.2583057392117916,1.7950549357115013,1.247219128924647,2.1343747458109497,2.0816659994661326,1.950783318453271,2.1343747458109497,2.6874192494328497,16,0,1
7,j38UBMlO ,16,5,5,49,0,18,Male,Single,"[0, 1, 13, 4, 9, 3]","[2, 0, 3, 0, 0, 1, 1, 0, 1, 2, 0, 1, 2, 2, 2, 2]","[array([5, 6, 4, 6, 6, 6]), array([4, 5, 5, 5, 5, 6]), array([4, 5, 5, 5, 5, 6]), array([5, 6, 5, 6, 6, 7]), array([3, 4, 3, 4, 6, 6]), array([3, 6, 3, 3, 6, 6]), array([2, 3, 3, 4, 3, 3]), array([6, 6, 6, 7, 6, 7]), array([4, 6, 6, 7, 6, 5]), array([5, 6, 6, 7, 7, 6])]",Disagree,Disagree,Agree,Disagree,No,Disagree,Disagree,No,Disagree,Disagree,No,Same,No,"['thoughtful', 'punctual', 'organised']","['spontaneous', 'following', 'playful', 'delayed', 'cluttered']","['delayed', 'cluttered', 'independent', 'playful', 'compromising', 'unhelpful', 'following', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Disagree,Disagree,Same,No},0.7901234567901235,"[0.0, 0.25, 0.6166666666666667, 0.7, 1.65, 1.7333333333333334, 4.05, 4.1, 4.233333333333333, 6.033333333333333, 6.333333333333333, 6.916666666666667, 7.3, 7.683333333333334, 8.116666666666667, 8.533333333333333, 9.5, 10.783333333333333, 11.116666666666667, 11.383333333333333, 11.7, 11.8, 12.2, 12.416666666666666, 12.933333333333334, 13.166666666666666, 13.616666666666667, 13.65, 13.7, 14.266666666666667, 15.033333333333333, 15.35, 15.4]","['unfriendly / friendly', 'stubborn / docile']","[13, 4]",0.7621908144748358,0.6867218036797701,"['boring / fun', 'unambitious / motivated']","['uncaring / caring', 'selfish / generous', 'unfriendly / friendly', 'quiet / talkative', 'stubborn / docile', 'not confident / confident']","[3, 9, 4]",2,1,4.0,6.0,6,6,6,7,6,6,4,7,7,7,4,4,4,5,3,3,2,6,4,5,6.0,5.0,5.0,6.0,4.0,4.5,3.0,6.0,6.0,6.0,37,33,30,30,35,26,27,18,38,34,0.7637626158259734,0.5773502691896257,0.5773502691896257,0.6871842709362768,1.247219128924647,1.5,0.5773502691896257,0.4714045207910317,0.9428090415820632,0.6871842709362768,19,1,1
8,tixT4goS ,23,10,10,28,0,17,Female,Single,"[0, 1, 13, 12, 11, 7]","[1, 0, 2, 2, 2, 2, 2, 2, 3, 2, 1, 2, 2, 1, 2, 0]","[array([3, 7, 4, 1, 7, 3]), array([4, 7, 4, 1, 5, 7]), array([5, 7, 5, 1, 5, 6]), array([5, 7, 6, 1, 5, 6]), array([5, 7, 5, 1, 5, 5]), array([5, 7, 3, 1, 4, 5]), array([5, 1, 5, 1, 5, 5]), array([5, 7, 6, 1, 5, 5]), array([4, 7, 5, 3, 5, 5]), array([5, 7, 5, 3, 5, 5])]",Strongly agree,Strongly agree,Agree,Agree,Yes,Strongly agree,Strongly agree,Yes,Strongly agree,Strongly agree,Yes,Better,This exercise really opened a lot of emotions for me towards making certain decisions better. It was interesting to see the results from the correlation of my answers and it has enabled me to think of steps moving forward. ,"['organised', 'thoughtful', 'hardworking']","['lazy', 'cluttered', 'spontaneous', 'unhelpful', 'teamplayer']","['punctual', 'cluttered', 'teamplayer', 'serious', 'compromising', 'unhelpful', 'influential', 'slowpaced', 'conservative', 'spontaneous', 'lazy']",Strongly agree,Strongly agree,Better,I found this really useful. I somewhat feel better and it’s almost made me think deep. },3.1635802469135808,"[0.0, 0.3, 0.5666666666666667, 0.85, 2.2333333333333334, 2.3, 4.266666666666667, 4.333333333333333, 4.716666666666667, 5.65, 6.216666666666667, 6.816666666666666, 7.233333333333333, 7.7, 8.066666666666666, 8.433333333333334, 8.816666666666666, 9.25, 9.55, 9.816666666666666, 10.116666666666667, 10.183333333333334, 10.866666666666667, 11.483333333333333, 12.166666666666666, 12.366666666666667, 12.7, 12.766666666666667, 13.083333333333334, 13.7, 14.4, 14.8, 14.85]","['not confident / confident', 'unambitious / motivated']","[0, 11]",-0.2010075630518424,0.0009695243375323707,"['unsuccessful / successful', 'uncaring / caring', 'selfish / generous', 'unfriendly / friendly', 'quiet / talkative', 'boring / fun', 'stubborn / docile', 'not understanding / understanding', 'unambitious / motivated', 'not confident / confident']",[],[],1,1,5.0,7.0,7,7,7,7,7,7,5,7,7,7,1,1,1,1,1,1,1,1,3,3,3.5,4.5,5.0,5.5,5.0,4.5,5.0,5.0,5.0,5.0,30,25,28,29,30,28,25,22,29,29,2.1921577396609844,2.0548046676563256,1.8633899812498247,1.9148542155126762,1.7950549357115013,1.863389981249825,1.8856180831641267,1.863389981249825,1.2133516482134197,1.1547005383792515,26,0,1
9,sDYE5R1T ,22,9,8,40,0,15,Male,Married,"[0, 1, 8, 10, 7, 3]","[2, 2, 3, 2, 0, 2, 3, 0, 3, 3, 0, 2, 2, 1, 1, 3]","[array([5, 7, 4, 4, 3, 4]), array([6, 7, 4, 3, 3, 4]), array([5, 7, 4, 4, 3, 4]), array([5, 7, 4, 4, 3, 4]), array([6, 6, 3, 3, 3, 4]), array([6, 7, 4, 4, 3, 4]), array([3, 4, 3, 3, 3, 3]), array([6, 7, 4, 4, 3, 4]), array([7, 7, 4, 4, 3, 4]), array([6, 7, 4, 4, 4, 3])]",Agree,Agree,Strongly agree,Strongly agree,Yes,Strongly agree,Strongly agree,Yes,Agree,Agree,No,Better,It is interesting and made me understand myself better. ,"['delayed', 'cluttered', 'opinionated']","['punctual', 'thoughtful', 'organised', 'compromising', 'influential']","['organised', 'punctual', 'teamplayer', 'playful', 'compromising', 'unhelpful', 'influential', 'slowpaced', 'conservative', 'thoughtful', 'lazy']",Disagree,Agree,Same,Not sure if i would be stressed if someone says I am punctual.},1.6481481481481481,"[0.0, 0.08333333333333333, 0.25, 0.4166666666666667, 3.1, 3.25, 5.683333333333334, 5.75, 6.05, 7.933333333333334, 8.783333333333333, 9.6, 10.266666666666667, 10.916666666666666, 11.883333333333333, 12.266666666666667, 12.616666666666667, 13.383333333333333, 13.75, 14.2, 14.6, 14.666666666666666, 15.15, 15.466666666666667, 15.816666666666666, 16.083333333333332, 17.916666666666668, 17.966666666666665, 18.066666666666666, 18.783333333333335, 19.166666666666668, 19.616666666666667, 19.666666666666668]","['unsuccessful / successful', 'unambitious / motivated']","[8, 3]",0.7453559924999301,0.6060944023500415,[],"['uncaring / caring', 'quiet / talkative', 'boring / fun', 'not understanding / understanding', 'unambitious / motivated', 'not confident / confident']","[8, 10, 7, 3]",2,2,6.0,7.0,7,7,7,7,6,7,4,7,7,7,3,3,3,3,3,3,3,3,3,3,4.0,4.0,4.0,4.0,3.5,4.0,3.0,4.0,4.0,4.0,28,27,27,27,27,25,28,19,28,29,1.2583057392117916,1.5,1.2583057392117916,1.2583057392117916,1.343709624716425,1.3743685418725535,0.3726779962499649,1.3743685418725535,1.5723301886761007,1.3743685418725535,29,1,1
